Uniq Id,Selling Price,Item Sold,Product Name,Product Url,Category
ae982cfe0f9a2bd79c7ce69401e27747,$12.49,617,Disney Moana of Oceania Adventure Doll,https://www.amazon.com/Disney-Moana-Oceania-Adventure-Doll/dp/B01BSKD5DE?cm1=tx&cd1=pp&ref=04593de02743bc592bec17a1bba781a6&did=f8f45e0e15344f1ce32342691506543e,Toys & Games | Dolls & Accessories | Dolls
78fd870cc075fbcb8dfab33bb0e9f8c0,$12.59,4414,"Wildkin 33527 Rip-Stop Black/Green Box Lunch Bags, One Size",https://www.amazon.com/Wildkin-Insulated-Moisture-Resistant-Organization/dp/B00DVLQRYI?cm1=tx&cd1=pp&ref=d2dfd3865be667a18e03330060b2fcfa&did=33cc5a3a38670bfbc9e17bcb7de83446,Home & Kitchen | Kitchen & Dining | Storage & Organization | Travel & To-Go Food Containers | Lunch Boxes
cd7caf32594ddff9365256fd5dcd9bf5,$5.99,718,Bendon 42423 Fashion Diva Create-a-Face Sticker Book,https://www.amazon.com/Bendon-42423-Fashion-Create-Sticker/dp/B079Q9QP53?cm1=tx&cd1=pp&ref=468a4b673b4eba3320851a5404bbe96b&did=525568d2f973563bd9cceb634d2c6015,Toys & Games | Arts & Crafts | Stickers
5fbbe1818efd5c7b1501aa66ef516dab,$44.92,2702,"Kotobukiya SV229 Fantastic Beasts: The Crimes of Grindelwald: Newt Scamander Artfx+ Statue, Multicolor",https://www.amazon.com/Kotobukiya-SV229-Fantastic-Beasts-Grindelwald/dp/B07J9RRTJP?cm1=tx&cd1=pp&ref=6f39cac16f74240b1453867fbe7dcae1&did=f4b641b886fa6afb9d5bad14eaf92463,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues"
0f5d8a24ef0a3c66a2c41870bb928271,$5.37,654,Rubie's Costume Co Women's The Hunger Games Katniss Quiver,https://www.amazon.com/Rubies-Womens-Hunger-Katniss-Quiver/dp/B012YBPOVW?cm1=tx&cd1=pp&ref=d9baf32678b538bbf4e953c51726349e&did=d5dcd3b642c96395adc8b5e8bf29e734,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes"
12d4f7d48c57f04ffe0911f2ce7cfc04,$20.99,3322,"Ravensburger 16458 The After Party 1000 Piece Puzzle for Adults - Every Piece is Unique, Softclick Technology Means Pieces Fit Together Perfectly",https://www.amazon.com/Ravensburger-16458-After-Puzzle-Adults/dp/B07ZJH6PVW?cm1=tx&cd1=pp&ref=6169aa9eb77b71359d60610c480523dd&did=447a5e12571d8262f1ebcd350e92559e,Toys & Games | Puzzles | Jigsaw Puzzles
7bfe640421e3fcdeab7a20c491f2bcff,$5.41,4092,"Darice Painted Wood Shape: School Bus, 2 x 4.75 Inches, Airplane",https://www.amazon.com/Darice-9199-16-Natural-Painted-Cutout/dp/B0085TIQC2?cm1=tx&cd1=pp&ref=3ef4e3645e65a127e7bc3e2471e9f492&did=319ffd05cf6fe6ea3c7acb7e14a8fc4b,Toys & Games | Arts & Crafts | Craft Kits | Wood
a2e1b50b06dfd7069c3cd4720b10d674,$18.65,3630,"PowerTRC PS803 26\" Little Doctors Deluxe Medical Doctor Playset for Kids",https://www.amazon.com/PowerTRC-Little-Doctors-Medical-Playset/dp/B005QEHLEI?cm1=tx&cd1=pp&ref=22de8bf49bf8be1b7ed64e14f7281ac1&did=db5712947eb26003ffc2bfc22ce443eb,Toys & Games | Dress Up & Pretend Play | Pretend Play | Medical Kits
0041b20f5e27666ec17c378ad5762c10,$16.00,2992,"Wild Republic Common Langur w/baby Plush, Monkey Stuffed Animal, Plush Toy, Gifts for Kids, Hanging 20 Inches",https://www.amazon.com/Wild-Republic-Common-Stuffed-Hanging/dp/B00MC7WLL0?cm1=tx&cd1=pp&ref=ba8a8e2c408cfe53f581503b86e3ad3c&did=aabb9b96b1b43774684926e7483aa644,Toys & Games | Stuffed Animals & Plush Toys | Plush Puppets
0b967670a12c9e7b917cd2626f62decf,$11.02,3712,Watchover Voodoo The Gamer Voodoo Novelty,https://www.amazon.com/Watchover-Voodoo-Gamer-Novelty/dp/B00KZ1JYEM?cm1=tx&cd1=pp&ref=5d7a1d8213640283c4062d5dce3dcf97&did=17f2be548ced600b2613d764cb7ed809,Toys & Games | Dolls & Accessories | Dolls
